danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
0.163,0.019,4,-32.337,1,0.0465,0.93,0.931,0.0858,0.146,74.457,audio_features,1,2PJ1ULEfrbhrqHU1rXVpYD,spotify:track:2PJ1ULEfrbhrqHU1rXVpYD
0.0828,0.00547,4,-37.427,1,0.0492,0.991,0.914,0.0764,0.166,69.873,audio_features,4,1ptiRc6sCWNKkEwLOS36vU,spotify:track:1ptiRc6sCWNKkEwLOS36vU
0.218,0.00481,5,-33.64,1,0.0415,0.987,0.986,0.0943,0.065,68.523,audio_features,4,3dCrJixGvFGaCYf1OCajCj,spotify:track:3dCrJixGvFGaCYf1OCajCj
0.0947,0.00153,10,-38.118,1,0.0489,0.971,0.948,0.102,0.144,72.669,audio_features,4,2b9CuyDYXeYjrf4Rp1N7yF,spotify:track:2b9CuyDYXeYjrf4Rp1N7yF
0.121,0.00716,5,-35.758,1,0.0427,0.966,0.943,0.0875,0.141,89.086,audio_features,4,0bsBttoH3LrYa60QZB201X,spotify:track:0bsBttoH3LrYa60QZB201X
0.242,0.0052,0,-31.63,1,0.0386,0.992,0.895,0.105,0.0383,64.618,audio_features,4,4p6W5QhUyc4CoubKkfCK98,spotify:track:4p6W5QhUyc4CoubKkfCK98
0.206,0.00542,7,-34.093,1,0.0466,0.859,0.953,0.11,0.0412,69.947,audio_features,3,0lZYIXIXkyzwyCWptYemZH,spotify:track:0lZYIXIXkyzwyCWptYemZH
0.133,0.0035,2,-37.141,1,0.0408,0.974,0.923,0.106,0.0763,71.63,audio_features,3,0G04ehzIE3QEkmvVK1Lxl8,spotify:track:0G04ehzIE3QEkmvVK1Lxl8
0.0669,0.00219,11,-36.005,0,0.0426,0.995,0.964,0.111,0.0861,72.656,audio_features,4,26hCpTBuCM2Irs5GW5kA9n,spotify:track:26hCpTBuCM2Irs5GW5kA9n
0.172,0.00852,2,-35.821,1,0.0437,0.985,0.788,0.105,0.139,125.942,audio_features,4,17ZevRUkVXijuNzOAgFuRF,spotify:track:17ZevRUkVXijuNzOAgFuRF
0.143,0.00375,7,-36.814,1,0.039,0.989,0.764,0.077,0.0444,140.44,audio_features,3,4lw6ynpAuGIWETp0eHb0Lz,spotify:track:4lw6ynpAuGIWETp0eHb0Lz
0.147,0.0454,11,-33.796,1,0.0446,0.959,0.918,0.088,0.0718,140.46,audio_features,3,4j4ZWRfaWnFou23po51hpn,spotify:track:4j4ZWRfaWnFou23po51hpn
0.178,0.00263,5,-39.967,1,0.0451,0.966,0.882,0.112,0.0719,71.826,audio_features,4,0lLKmZbkORVUbxlRDrVVXB,spotify:track:0lLKmZbkORVUbxlRDrVVXB
0.112,0.00229,3,-38.361,1,0.0439,0.938,0.953,0.107,0.0769,73.703,audio_features,4,3RYqhN2wn4Qg5fwLRbCinW,spotify:track:3RYqhN2wn4Qg5fwLRbCinW
0.132,0.000931,0,-35.376,0,0.0449,0.978,0.873,0.125,0.183,69.504,audio_features,3,77X5JEYLRwx9G3DCJ3PVsn,spotify:track:77X5JEYLRwx9G3DCJ3PVsn
0.135,0.00607,0,-36.472,1,0.0393,0.993,0.892,0.0858,0.0893,68.103,audio_features,3,6Db6Cz42MGCRkM28KHivIy,spotify:track:6Db6Cz42MGCRkM28KHivIy
0.224,0.0104,2,-31.965,1,0.0373,0.99,0.907,0.0983,0.0605,75.586,audio_features,3,2HDIkvzHBYohuX1HztM7Qk,spotify:track:2HDIkvzHBYohuX1HztM7Qk
0.184,0.00981,4,-36.465,1,0.0365,0.91,0.843,0.104,0.0711,64.554,audio_features,3,1YpXhScYe8acVxMPtAaj89,spotify:track:1YpXhScYe8acVxMPtAaj89
0.147,0.00248,1,-33.892,1,0.0469,0.987,0.933,0.137,0.04,138.194,audio_features,4,1JulU97PHmutg1nTEZrRgR,spotify:track:1JulU97PHmutg1nTEZrRgR
